published_year,crossref_type,code,name,total,avg_score,count_oa,count_gold,count_green,count_bronze,count_hybrid,count_doaj,count_diamond,count_green_only,count_green_only_ignoring_bronze,count_cc_licensed,mean_citations,mean_citations2y
2021,journal-article,ceb,Cebuano,280,0.3864432951701541,67,22,17,42,9,13,9,3,9,21,1.4,1.4
2021,other,ceb,Cebuano,31,0.36630669620729256,0,0,0,0,0,0,0,0,0,0,3.3333333333333335,3.3333333333333335
2021,dataset,ceb,Cebuano,29,0.27902112926902445,5,5,0,0,5,0,0,0,0,5,,
2021,monograph,ceb,Cebuano,7,0.5520204220499312,0,0,0,0,0,0,0,0,0,0,1.6666666666666667,1.6666666666666667
2021,book,ceb,Cebuano,10,0.473513163626194,0,0,0,0,0,0,0,0,0,0,1.0,1.0
2021,book,km,Central Khmer,1,0.9861459136009216,0,0,0,0,0,0,0,0,0,0,,
2021,proceedings-article,km,Central Khmer,1,0.8743075728416443,1,1,0,0,1,0,0,0,0,1,,
2021,posted-content,km,Central Khmer,1,0.07388795167207718,0,0,0,0,0,0,0,0,0,0,,
2021,book-chapter,km,Central Khmer,3,0.1925051162640254,0,0,0,0,0,0,0,0,0,0,,
2021,journal-article,ckb,Central Kurdish,102,0.9002881964632112,100,95,0,5,81,14,1,0,0,95,,
2021,proceedings-article,ckb,Central Kurdish,2,0.8733358979225159,2,0,0,2,0,0,0,0,0,0,,
2021,journal-article,ce,Chechen,4,0.8786213845014572,0,0,0,0,0,0,0,0,0,0,,
2021,report,zh,Chinese,13,0.7183769345283509,10,3,4,3,3,0,0,4,4,3,,
2021,reference-entry,zh,Chinese,5,0.2452220767736435,2,2,0,0,2,0,0,0,0,2,,
2021,other,zh,Chinese,29,0.2686759737031213,0,0,0,0,0,0,0,0,0,0,,
2021,component,zh,Chinese,6,0.8303446869055431,0,0,0,0,0,0,0,0,0,0,,
2021,book-chapter,zh,Chinese,1242,0.4795324180617137,25,4,1,20,4,0,0,1,1,4,1.0833333333333335,1.0833333333333335
2021,journal-article,zh,Chinese,6923,0.8659968082010788,4027,2667,23,1353,2604,63,39,7,14,2668,1.2852664576802513,1.2852664576802513
2021,monograph,zh,Chinese,20,0.8333769291639328,6,0,0,6,0,0,0,0,0,0,,
2021,posted-content,zh,Chinese,70,0.7339803281639301,54,0,54,0,0,0,0,54,54,3,,
2021,proceedings-article,zh,Chinese,45,0.24534063968393538,19,3,4,14,3,0,0,2,4,3,1.0,1.0
2021,peer-review,zh,Chinese,66,0.2632049626924775,65,65,0,0,65,0,0,0,0,65,,
2021,book,zh,Chinese,97,0.9067551850043624,0,0,0,0,0,0,0,0,0,0,,
2021,dataset,zh,Chinese,2819,0.4003249020039847,2802,2802,0,0,2802,0,0,0,0,2802,,
2021,book-part,zh,Chinese,4,0.2825021930038929,0,0,0,0,0,0,0,0,0,0,,
2021,proceedings,zh,Chinese,4,0.21492678672075272,0,0,0,0,0,0,0,0,0,0,,
2021,book-chapter,cv,Chuvash,1,0.14282849431037903,0,0,0,0,0,0,0,0,0,0,,
2021,report,kw,Cornish,1,0.08336395025253296,1,0,0,1,0,0,0,0,0,0,,
2021,journal-article,kw,Cornish,1,0.116001196205616,1,1,0,0,1,0,0,0,0,1,,
2021,book-chapter,kw,Cornish,4,0.19663760252296925,0,0,0,0,0,0,0,0,0,0,,
2021,dataset,hr,Croatian,211,0.3674065241881456,137,137,0,0,137,0,0,0,0,137,,
2021,report,hr,Croatian,4,0.3783905729651451,4,0,0,4,0,0,0,0,0,0,,
